ElementId,Category,Type Name,Level,ApprovedLabel,MissingList,Assembly Code,ConnCount,ConnSizes_m,Default Thickness,Description,EndX_m,EndY_m,EndZ_m,Fire Rating,Insulation Thickness,Length_m,Lining Thickness,Material,Model,Service Type,StartX_m,StartY_m,StartZ_m,Structural,SurfaceArea_m2,System Type,Type Mark,Volume_m3,Width,is_missing_Default Thickness,is_missing_Model,is_missing_Service Type,is_missing_System Type,is_missing_Type Mark,is_missing_Width
﻿1663903,Floors,Generic 300mm,L1,Pass,,CDF-86,0,,300,,,,,,,,,,ER-08,,,,,Yes,3038.7999999999997,,TYO-25,448.79999999999995,,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
﻿1664032,Floors,Concrete 250mm,L2,Pass,,CDF-72,0,,250,,,,,,,,,,TYU-872,,,,,Yes,3065.9249999999997,,SF-02,378.33750000000003,,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
﻿1666313,Floors,Generic 300mm,L1,Pass,,CDF-86,0,,300,,,,,,,,,,ER-08,,,,,Yes,3038.7999999999997,,TYO-25,448.79999999999995,,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
﻿1666328,Floors,Concrete 250mm,L2,Pass,,CDF-72,0,,250,,,,,,,,,,TYU-872,,,,,Yes,3065.9250000000002,,SF-02,378.33750000000009,,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
﻿1666397,Floors,Generic 300mm,L1,Pass,,CDF-86,0,,300,,,,,,,,,,ER-08,,,,,Yes,3038.7999999999997,,TYO-25,448.7999999999999,,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
﻿1666412,Floors,Concrete 250mm,L2,Pass,,CDF-72,0,,250,,,,,,,,,,TYU-872,,,,,Yes,3065.9250000000002,,SF-02,378.33750000000015,,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
﻿1666483,Floors,Generic 300mm,L1,Pass,,CDF-86,0,,300,,,,,,,,,,ER-08,,,,,Yes,15081.324264853185,,TYO-25,2246.5068536604308,,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
﻿1666498,Floors,Concrete 250mm,L2,Pass,,CDF-72,0,,250,,,,,,,,,,TYU-872,,,,,Yes,6859.2737989700672,,SF-02,849.84223133265573,,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
﻿1666569,Floors,Generic 300mm,L1,Pass,,CDF-86,0,,300,,,,,,,,,,ER-08,,,,,Yes,13228.300404095766,,TYO-25,1969.5031090758177,,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
﻿1666584,Floors,Concrete 250mm,L2,Pass,,CDF-72,0,,250,,,,,,,,,,TYU-872,,,,,Yes,3065.9249999999997,,SF-02,378.33749999999992,,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
﻿1666749,Floors,Generic 300mm,L1,Pass,,CDF-86,0,,300,,,,,,,,,,ER-08,,,,,Yes,3038.8000000000006,,TYO-25,448.80000000000013,,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
﻿1666764,Floors,Concrete 250mm,L2,Pass,,CDF-72,0,,250,,,,,,,,,,TYU-872,,,,,Yes,3065.9249999999975,,SF-02,378.33749999999975,,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
﻿1666815,Floors,Generic 300mm,L1,Pass,,CDF-86,0,,300,,,,,,,,,,ER-08,,,,,Yes,15081.324264853183,,TYO-25,2246.5068536604304,,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
﻿1666830,Floors,Concrete 250mm,L2,Pass,,CDF-72,0,,250,,,,,,,,,,TYU-872,,,,,Yes,6859.2737989700672,,SF-02,849.84223133265596,,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
﻿1666868,Floors,Generic 300mm,L1,Pass,,CDF-86,0,,300,,,,,,,,,,ER-08,,,,,Yes,13228.300404095762,,TYO-25,1969.5031090758173,,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
﻿1666883,Floors,Concrete 250mm,L2,Pass,,CDF-72,0,,250,,,,,,,,,,TYU-872,,,,,Yes,3065.9250000000002,,SF-02,378.33750000000009,,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
﻿1664105,Pipes,Standard,L1,Pass,,VFT-87,2,D=0.1500;D=0.1500,,,14.532099056750535,-7.5035650923092003,2.7500000000000004,,25 mm,8.0000000000000018,,Copper,,,14.532099056750523,-15.503565092309202,2.7500000000000004,,3.866707216411752,Domestic Cold Water,DF-98,0.14592444019349188,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
﻿1664123,Pipes,Standard,L1,Pass,,VFT-87,2,D=0.0400;D=0.0400,,,7.5320990567505524,45.463679324079969,2.7500000000000004,,0 mm,7.0000000000000009,,Copper,,,14.532099056750553,45.463679324079941,2.7500000000000004,,0.84014260153459031,Domestic Hot Water,DF-98,0.0079802428230817454,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
﻿1664143,Pipes,Standard,L1,Pass,,VFT-87,2,D=0.1500;D=0.1500,,,4.1358793330708119,49.473153271476193,2.7500000000000004,,0 mm,21.0,,Copper,,,-16.864120666929189,49.473153271476257,2.7500000000000004,,10.090830581703841,Vent,DF-98,0.38305165550791676,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
﻿1664157,Pipes,Standard,L1,Pass,,VFT-87,2,D=0.1500;D=0.1500,,,-19.514450903343668,6.4577193412180955,2.7500000000000004,,25 mm,24.000000000000004,,Copper,,,-19.514450903343707,-17.542280658781909,2.7500000000000004,,11.527166742925097,Domestic Cold Water,DF-98,0.43777332058047591,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
﻿1664173,Pipes,Standard,L1,Pass,,VFT-87,2,D=0.0320;D=0.0320,,,4.1358793330708137,-13.940549824680161,2.7500000000000004,,25 mm,11.55395120867645,,Copper,,,-7.4180718756056363,-13.940549824680124,2.7500000000000004,,1.1540386343215205,Domestic Cold Water,DF-98,0.009147156370166061,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
﻿1666336,Pipes,Standard,L1,Pass,,VFT-87,2,D=0.1500;D=0.1500,,,102.98035507219976,-36.242145569179556,2.7500000000000004,,25 mm,8.0000000000000018,,Copper,,,102.98035507219974,-44.242145569179556,2.7500000000000004,,3.8667072164117537,Domestic Cold Water,DF-98,0.14592444019349193,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
﻿1666338,Pipes,Standard,L1,Pass,,VFT-87,2,D=0.0400;D=0.0400,,,95.980355072199771,-23.651118347805177,2.7500000000000004,,0 mm,7.0000000000000009,,Copper,,,102.98035507219977,-23.651118347805198,2.7500000000000004,,0.84014260153459031,Domestic Hot Water,DF-98,0.0079802428230815996,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
﻿1666340,Pipes,Standard,L1,Pass,,VFT-87,2,D=0.1500;D=0.1500,,,92.58413534852005,-19.641644400408936,2.7500000000000004,,0 mm,21.0,,Copper,,,71.584135348520036,-19.641644400408872,2.7500000000000004,,10.090830581703846,Vent,DF-98,0.38305165550791692,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
﻿1666342,Pipes,Standard,L1,Pass,,VFT-87,2,D=0.1500;D=0.1500,,,68.93380511210556,-22.280861135652255,2.7500000000000004,,25 mm,24.000000000000004,,Copper,,,68.933805112105517,-46.280861135652259,2.7500000000000004,,11.527166742925095,Domestic Cold Water,DF-98,0.43777332058047635,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
﻿1666344,Pipes,Standard,L1,Pass,,VFT-87,2,D=0.0320;D=0.0320,,,92.58413534852005,-42.679130301550515,2.7500000000000004,,25 mm,11.55395120867645,,Copper,,,81.030184139843598,-42.679130301550487,2.7500000000000004,,1.1540386343215174,Domestic Cold Water,DF-98,0.0091471563701664652,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
﻿1666417,Pipes,Standard,L1,Pass,,VFT-87,2,D=0.1500;D=0.1500,,,102.9803550721999,50.757854430820458,2.7500000000000004,,25 mm,8.0000000000000018,,Copper,,,102.98035507219988,42.757854430820458,2.7500000000000004,,3.8667072164117537,Domestic Cold Water,DF-98,0.14592444019349193,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
﻿1666419,Pipes,Standard,L1,Pass,,VFT-87,2,D=0.0400;D=0.0400,,,95.980355072199913,63.348881652194841,2.7500000000000004,,0 mm,7.0000000000000009,,Copper,,,102.98035507219991,63.348881652194812,2.7500000000000004,,0.84014260153459064,Domestic Hot Water,DF-98,0.0079802428230817454,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
﻿1666421,Pipes,Standard,L1,Pass,,VFT-87,2,D=0.1500;D=0.1500,,,92.584135348520192,67.358355599591064,2.7500000000000004,,0 mm,21.0,,Copper,,,71.584135348520178,67.358355599591135,2.7500000000000004,,10.090830581703846,Vent,DF-98,0.38305165550791687,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
﻿1666423,Pipes,Standard,L1,Pass,,VFT-87,2,D=0.1500;D=0.1500,,,68.933805112105688,64.719138864347755,2.7500000000000004,,25 mm,24.000000000000004,,Copper,,,68.933805112105659,40.719138864347755,2.7500000000000004,,11.527166742925095,Domestic Cold Water,DF-98,0.43777332058047635,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
﻿1666425,Pipes,Standard,L1,Pass,,VFT-87,2,D=0.0320;D=0.0320,,,92.584135348520192,44.320869698449499,2.7500000000000004,,25 mm,11.55395120867645,,Copper,,,81.03018413984374,44.320869698449528,2.7500000000000004,,1.1540386343215174,Domestic Cold Water,DF-98,0.0091471563701664652,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
﻿1666503,Pipes,Standard,L1,Pass,,VFT-87,2,D=0.1500;D=0.1500,,,-43.808621167570607,50.757854430820458,2.7500000000000004,,25 mm,8.0000000000000018,,Copper,,,-43.808621167570628,42.757854430820458,2.7500000000000004,,3.8667072164117511,Domestic Cold Water,DF-98,0.1459244401934921,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
